Date,Close,High,Low,Open,Volume,Ticker,Company,Sector
2021-05-21,97.12263488769531,98.70616218217418,96.89171074550008,96.99067679676132,13009821,COALINDIA.NS,Coal India,Energy
2021-05-24,98.24427795410156,98.80511233502523,96.09992660125461,97.71644567529738,14192862,COALINDIA.NS,Coal India,Energy
2021-05-25,97.2875747680664,98.97006793653875,97.05665065020138,98.83810985950788,10434892,COALINDIA.NS,Coal India,Energy
2021-05-26,96.13294219970703,97.65048554263743,95.80304191071163,97.51852744059083,9948786,COALINDIA.NS,Coal India,Energy
2021-05-27,95.3741683959961,96.52881932072303,95.07726017176059,96.16592701654315,24064196,COALINDIA.NS,Coal India,Energy
2021-05-28,96.92467498779297,98.17830179174287,95.50610815116444,96.06694251974139,16465504,COALINDIA.NS,Coal India,Energy
2021-05-31,97.45252990722656,97.91438823453204,95.7040626439428,97.02366361781928,11767444,COALINDIA.NS,Coal India,Energy
2021-06-01,97.38655090332031,98.5741836646792,96.92468253195192,98.01335932020548,9307143,COALINDIA.NS,Coal India,Energy
2021-06-02,98.37623596191406,98.9040681863682,96.9906512033361,97.32055137749711,10714318,COALINDIA.NS,Coal India,Energy
2021-06-03,98.34326171875,99.23398630944162,98.0463535218528,98.9700701494788,9282774,COALINDIA.NS,Coal India,Energy
2021-06-04,101.01544189453125,101.87317433169031,97.78241400181825,98.31025631774638,29422387,COALINDIA.NS,Coal India,Energy
2021-06-07,103.09383392333984,104.80931934692711,102.5659914801009,102.92888378906251,31071589,COALINDIA.NS,Coal India,Energy
2021-06-08,102.92888641357422,103.91858724447397,100.81752665453958,103.85260316197765,12874065,COALINDIA.NS,Coal India,Energy
2021-06-09,103.19280242919922,106.4918051931475,102.40104377940312,103.58868678797599,30443113,COALINDIA.NS,Coal India,Energy
2021-06-10,103.2587890625,104.74334034295127,102.7639386356829,103.65467343105675,11459484,COALINDIA.NS,Coal India,Energy
2021-06-11,107.3165512084961,108.86708646710002,103.35774806423791,103.58868227475578,61728565,COALINDIA.NS,Coal India,Energy
2021-06-14,105.13920593261719,108.2072740037931,102.63196220434396,108.2072740037931,30836595,COALINDIA.NS,Coal India,Energy
2021-06-15,103.68763732910156,106.78870751740851,103.42372117457822,106.29385717686029,30153988,COALINDIA.NS,Coal India,Energy
2021-06-16,102.6319580078125,104.77630938667042,102.17009972437882,103.78660875027445,14098443,COALINDIA.NS,Coal India,Energy
2021-06-17,100.38864135742188,102.53299296767297,99.89379098582546,102.26907679659085,15784276,COALINDIA.NS,Coal India,Energy
2021-06-18,96.59478759765625,101.4773172586873,95.73705501584924,100.94947485374387,24823176,COALINDIA.NS,Coal India,Energy
2021-06-21,97.32056427001953,97.65046448788401,94.68136252710374,96.33086361642611,15038290,COALINDIA.NS,Coal India,Energy
