Date,Close,High,Low,Open,Volume,Ticker,Company,Sector
2021-05-21,2707.99658203125,2714.7654317164456,2685.6681130389425,2690.8545812685134,1685566,TCS.NS,TCS,IT
2021-05-24,2708.87548828125,2729.533795590875,2700.5242576667206,2708.87548828125,1652260,TCS.NS,TCS,IT
2021-05-25,2750.8359375,2763.4240595646675,2722.656297882168,2731.401643786127,1841613,TCS.NS,TCS,IT
2021-05-26,2790.146728515625,2795.88867999112,2741.826041540108,2756.136708237692,1923753,TCS.NS,TCS,IT
2021-05-27,2809.13916015625,2842.4866454694256,2793.061740172022,2793.194160468886,5959785,TCS.NS,TCS,IT
2021-05-28,2776.98388671875,2825.0395068850357,2769.960867380018,2817.530802754791,1763701,TCS.NS,TCS,IT
2021-05-31,2790.720703125,2800.6146992644194,2763.7337050232063,2782.637888857994,1652799,TCS.NS,TCS,IT
2021-06-01,2785.287841796875,2800.261039677647,2766.736923725916,2799.068610059735,1377441,TCS.NS,TCS,IT
2021-06-02,2764.484130859375,2790.9854410639764,2751.719376244468,2783.388528206253,2240078,TCS.NS,TCS,IT
2021-06-03,2774.907470703125,2786.6564256904326,2758.476575377336,2786.6564256904326,1281706,TCS.NS,TCS,IT
2021-06-04,2777.11669921875,2788.689025250581,2760.5533789450797,2763.203510188867,1836060,TCS.NS,TCS,IT
2021-06-07,2811.965576171875,2818.370059314613,2768.1502071066175,2778.2206184706743,2559821,TCS.NS,TCS,IT
2021-06-08,2826.938720703125,2854.190986460442,2815.499032089733,2825.039546487309,2574057,TCS.NS,TCS,IT
2021-06-09,2827.027587890625,2844.4742857613664,2814.616096398298,2828.5734978285386,1710925,TCS.NS,TCS,IT
2021-06-10,2841.647216796875,2848.0074881529035,2820.622800766818,2835.6402099785423,1874324,TCS.NS,TCS,IT
2021-06-11,2892.000244140625,2923.095077626024,2836.524114311623,2837.010014892447,3452954,TCS.NS,TCS,IT
2021-06-14,2894.25244140625,2922.8295591519113,2888.952179184316,2896.593304286982,1847360,TCS.NS,TCS,IT
2021-06-15,2882.238525390625,2913.377567002768,2872.3447453737463,2913.377567002768,1304985,TCS.NS,TCS,IT
2021-06-16,2892.485595703125,2910.4621884354497,2873.62541029358,2881.6642273428124,1635552,TCS.NS,TCS,IT
2021-06-17,2930.823974609375,2946.9898164726833,2879.80895402805,2884.6675274167474,2273413,TCS.NS,TCS,IT
2021-06-18,2912.75927734375,2966.380222751199,2893.0599254050558,2960.1081592410437,3380431,TCS.NS,TCS,IT
2021-06-21,2891.381591796875,2902.7770698023915,2872.4771929821286,2884.226151218749,1130569,TCS.NS,TCS,IT
2021-06-22,2916.2041015625,2939.03948321946,2901.893437333948,2918.6776002896086,1708688,TCS.NS,TCS,IT
2021-06-23,2881.045654296875,2940.7620256141804,2876.628769307968,2940.7620256141804,1467104,TCS.NS,TCS,IT
2021-06-24,2980.16064453125,2988.4643018161614,2896.151408071027,2901.0099814260343,4155204,TCS.NS,TCS,IT
2021-06-25,2986.5205078125,3003.1720320909585,2959.3124576059504,2981.617723144622,2722861,TCS.NS,TCS,IT
2021-06-28,2947.608154296875,2995.973044219031,2944.2954906035766,2995.973044219031,1355238,TCS.NS,TCS,IT
2021-06-29,2951.22998046875,2973.7118807948364,2938.553434922606,2952.245777697685,1497322,TCS.NS,TCS,IT
2021-06-30,2955.558349609375,2987.5807631708603,2949.153866897078,2955.7791938408336,1693146,TCS.NS,TCS,IT
2021-07-01,2951.80419921875,2969.913427434816,2943.7213860627653,2966.3799194902176,990310,TCS.NS,TCS,IT
2021-07-02,2937.626220703125,2950.21434389237,2910.9040644592897,2942.529006552582,1682274,TCS.NS,TCS,IT
2021-07-05,2933.69482421875,2980.513802142145,2916.910662321684,2952.245739999718,1972858,TCS.NS,TCS,IT
2021-07-06,2881.8408203125,2939.878645879054,2876.3639260649975,2926.6279909246714,2159420,TCS.NS,TCS,IT
2021-07-07,2893.01513671875,2899.8613076965835,2863.5546464924696,2893.0593486974058,2640710,TCS.NS,TCS,IT
2021-07-08,2878.48388671875,2913.377277397096,2854.985972804783,2913.377277397096,2485811,TCS.NS,TCS,IT
2021-07-09,2834.005859375,2899.2433376238587,2827.68980004082,2870.9752733935225,6365067,TCS.NS,TCS,IT
2021-07-12,2820.710693359375,2858.607473787245,2816.5146533406823,2857.7240969412046,1892226,TCS.NS,TCS,IT
2021-07-13,2815.808349609375,2839.173627711881,2804.721925322098,2839.173627711881,1809339,TCS.NS,TCS,IT
