Date,Close,High,Low,Open,Volume,Ticker,Company,Sector
2021-05-21,981.1553344726562,985.0181507501077,948.128243512067,951.218508322408,12591860,INDUSINDBK.NS,IndusInd Bank,Banking
2021-05-24,970.2911376953125,987.6738104781098,962.8552047720697,983.955873487437,5385688,INDUSINDBK.NS,IndusInd Bank,Banking
2021-05-25,959.8132934570312,978.0167914993916,948.7076967132712,977.2925134508855,4583345,INDUSINDBK.NS,IndusInd Bank,Banking
2021-05-26,964.2072143554688,973.3814027719015,953.1498912651782,964.5934606078645,2972854,INDUSINDBK.NS,IndusInd Bank,Banking
2021-05-27,972.3190307617188,978.5478332343932,953.1498302945582,961.1651615572888,4427518,INDUSINDBK.NS,IndusInd Bank,Banking
2021-05-28,984.3904418945312,990.3295456328142,968.6012035784619,979.7068006284642,5388785,INDUSINDBK.NS,IndusInd Bank,Banking
2021-05-31,978.2581787109375,985.4044120828203,969.5668424736242,980.1895867636738,2643491,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-01,975.4093627929688,995.9788472459463,971.4982731833437,981.1553136722438,3766919,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-02,992.7437744140625,994.6751825354906,969.0840249265678,974.298850431183,4177378,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-03,971.2568969726562,1001.676576072471,930.9870242807118,995.6409254574284,14752885,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-04,974.6851196289062,988.301582570568,969.5668997750473,977.4856850476458,4323154,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-07,990.0397338867188,997.2342997094158,974.8782276239939,983.0867119576283,3823401,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-08,985.1630249023438,992.7437782313392,971.1119836114067,989.8466660380572,3141410,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-09,969.13232421875,1000.1796752345869,963.0484002621796,984.0524641435559,4767864,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-10,989.2189331054688,993.323175372174,971.4982871306892,977.2925115072142,2984339,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-11,980.2861938476562,996.6066164732514,977.3890815904666,992.7438001303318,2679470,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-14,989.1707153320312,992.7437731987808,959.6684091598136,977.2925082462705,3982216,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-15,998.9725341796875,1013.9892797137293,989.8466778157833,989.8466778157833,6026006,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-16,978.9342651367188,1003.0768088718507,975.6991210128557,994.6752302937641,3325800,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-17,950.3010864257812,986.7564153801886,934.8015477580489,967.635486418972,6126591,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-18,961.2619018554688,965.5109646060865,927.0759525291941,959.8133456796419,4895262,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-21,972.9951171875,975.3611039309598,934.8498066872298,943.4928698421264,3160990,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-22,965.800537109375,986.6597786647128,961.889447737091,981.0587073094264,4141759,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-23,965.2694702148438,982.8935691059036,962.3240846543064,974.3953852646213,3975716,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-24,966.331787109375,973.4296883434536,962.034392272257,969.5668721198684,2285845,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-25,978.1616821289062,985.0181574915485,952.8119501346384,962.80696374419,3499315,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-28,974.298828125,986.5632222617617,966.6697426432645,984.0524153381483,2819763,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-29,983.2315673828125,986.9495042673354,965.7040159171579,974.3953520604124,4543628,INDUSINDBK.NS,IndusInd Bank,Banking
2021-06-30,981.4932861328125,992.3092422064724,977.4373762825619,986.4666855594306,2628556,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-01,973.1400146484375,982.072777401693,965.7040814330234,976.3268263287866,3070067,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-02,975.0230712890625,979.368739307391,970.677403270734,973.4296361055842,1501210,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-05,985.5492553710938,991.2952062507464,977.292497540921,977.292497540921,1993126,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-06,995.689208984375,999.5036928324881,980.1896118115704,983.7627285888198,3019919,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-07,1009.0641479492188,1011.0921028021497,978.2581663214686,989.4120948382752,3781022,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-08,1009.5952758789062,1024.6120213663048,1000.6625132044121,1007.0844688660783,4139752,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-09,1004.2838745117188,1012.637238078289,991.0054438920764,1004.3322068674898,3625932,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-12,1013.3132934570312,1021.3768985914461,1005.3462351495845,1009.5470241349341,2010018,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-13,1019.68701171875,1023.5980427045151,1008.1951090256999,1018.8178544273118,2096758,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-14,1016.5001831054688,1024.1292696052685,1012.5408195955908,1013.9893758468005,1566799,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-15,1018.9144287109375,1030.7926369516929,1013.9893611051882,1017.8521777189222,2748272,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-16,1008.4848022460938,1022.6322724914895,1006.2636357430462,1017.8520845231964,1218164,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-19,981.010498046875,999.2139969710796,971.0637574872477,988.8810101320104,2644846,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-20,947.8868408203125,984.0524708962944,946.3900112643458,982.1210627100405,3752725,INDUSINDBK.NS,IndusInd Bank,Banking
2021-07-22,958.123291015625,971.256842439792,954.1155956554954,965.6074973580644,2181872,INDUSINDBK.NS,IndusInd Bank,Banking
