Date,Close,High,Low,Open,Volume,Ticker,Company,Sector
2021-05-21,49.181617736816406,49.61851076056883,48.76032778024706,49.462476517424925,58163772,BEL.NS,BEL,Defence
2021-05-24,48.94756317138672,49.93057058903248,48.74471974735758,49.41566228181925,74623869,BEL.NS,BEL,Defence
2021-05-25,46.56024932861328,49.259618433518376,46.435421256932536,49.259618433518376,53594838,BEL.NS,BEL,Defence
2021-05-26,46.731895446777344,48.120593381941234,46.497845875019486,46.809914351572,45070683,BEL.NS,BEL,Defence
2021-05-27,46.357418060302734,47.10637597220059,44.37580002853259,47.05956677232817,360249207,BEL.NS,BEL,Defence
2021-05-28,45.2027702331543,46.685082890623605,45.062339071669584,46.341811876668324,44625315,BEL.NS,BEL,Defence
2021-05-31,45.37440872192383,45.624061349012365,44.843897335774805,45.42121791988176,29061186,BEL.NS,BEL,Defence
2021-06-01,45.85811233520508,47.746111948683115,45.561646929632744,47.746111948683115,74882883,BEL.NS,BEL,Defence
2021-06-02,46.91913604736328,47.12197948671817,45.56164781028194,45.639666715457246,24742749,BEL.NS,BEL,Defence
2021-06-03,47.18439483642578,47.41844440690148,46.56026145805291,47.1999943317236,26792298,BEL.NS,BEL,Defence
2021-06-04,47.68370056152344,47.8085250955906,47.0751702440068,47.3092198166958,23574183,BEL.NS,BEL,Defence
2021-06-07,47.83973693847656,48.13619881358,47.55887813199365,47.74611852675342,16889640,BEL.NS,BEL,Defence
2021-06-08,47.73051071166992,47.9957664231545,46.2637974080006,47.93335415487886,31918326,BEL.NS,BEL,Defence
2021-06-09,47.02836227416992,48.52627815004543,46.6694845867111,47.87093861510746,31016931,BEL.NS,BEL,Defence
2021-06-10,47.449649810791016,47.73050857678226,46.841119508382505,47.10637520800274,17381064,BEL.NS,BEL,Defence
2021-06-11,48.07377624511719,48.3702380567396,46.85671929675588,47.434039854721256,25835898,BEL.NS,BEL,Defence
2021-06-14,47.35602569580078,47.85533093967834,46.04535032345041,47.746109480029475,26533281,BEL.NS,BEL,Defence
2021-06-15,47.02836227416992,47.714907943441155,46.825518829690566,47.43404559181548,22951029,BEL.NS,BEL,Defence
2021-06-16,46.71630096435547,47.27801856832505,46.26380126766688,46.80991937457926,19709055,BEL.NS,BEL,Defence
2021-06-17,45.608455657958984,46.731890629539855,45.14035656269606,46.24819204050169,22419540,BEL.NS,BEL,Defence
2021-06-18,45.624061584472656,45.87371421284962,43.84528348238802,45.73328304693818,34091544,BEL.NS,BEL,Defence
2021-06-21,46.56024932861328,46.80990190066267,44.31337260885663,44.31337260885663,23199468,BEL.NS,BEL,Defence
2021-06-22,47.24680709838867,47.43404389770105,46.497845615887044,46.8099140907004,28261329,BEL.NS,BEL,Defence
2021-06-23,52.583126068115234,53.05122513442672,47.590070551230205,48.40144417087009,363893778,BEL.NS,BEL,Defence
2021-06-24,53.41011047363281,54.14346530737043,52.05262227080846,52.72356483903129,169690515,BEL.NS,BEL,Defence
2021-06-25,54.61156463623047,54.892423403362166,53.316492265612595,53.410110664218834,71399592,BEL.NS,BEL,Defence
2021-06-28,54.22147750854492,55.266900752120215,53.987427955065414,54.97043893672957,38881053,BEL.NS,BEL,Defence
2021-06-29,54.502342224121094,54.876819383351865,53.84700273132609,54.1278614935774,49605246,BEL.NS,BEL,Defence
2021-06-30,55.547760009765625,55.82861876224567,54.54914952480868,54.87681747414993,43091670,BEL.NS,BEL,Defence
2021-07-01,57.62299728393555,58.01308104950306,55.266898768238086,55.485345248398374,87835578,BEL.NS,BEL,Defence
2021-07-02,56.37473678588867,57.87265251366926,56.24990868958389,57.87265251366926,40351092,BEL.NS,BEL,Defence
2021-07-05,55.922237396240234,56.79601973287381,55.734997048635684,56.577576827199856,22985568,BEL.NS,BEL,Defence
2021-07-06,56.499568939208984,56.858446639640654,55.67259563554433,55.703801771005644,41588856,BEL.NS,BEL,Defence
2021-07-07,57.076881408691406,57.232912053875744,55.82861481934144,56.203095510408936,17834940,BEL.NS,BEL,Defence
2021-07-08,56.37473678588867,58.48118278694357,55.89103460891914,57.35774420545173,44887437,BEL.NS,BEL,Defence
2021-07-09,56.43714141845703,57.01446548243296,56.234298021455345,56.374729164398765,18512454,BEL.NS,BEL,Defence
2021-07-12,57.373348236083984,57.71662282821135,56.483959195305566,56.483959195305566,18021216,BEL.NS,BEL,Defence
2021-07-13,56.686798095703125,57.669805453289726,56.218699013870214,57.420152847733014,15530661,BEL.NS,BEL,Defence
2021-07-14,57.46696853637695,57.623002771726576,56.4215488020795,56.51516720050149,18423249,BEL.NS,BEL,Defence
2021-07-15,56.156288146972656,57.54498236224571,56.00025392539066,57.46696346579838,14669931,BEL.NS,BEL,Defence
