Date,Close,High,Low,Open,Volume,Ticker,Company,Sector
2021-05-21,657.1231079101562,661.0254668384798,654.8387634051463,658.4080153859156,3434231,SUNPHARMA.NS,Sun Pharma,Pharma
2021-05-24,657.646484375,664.7374088267632,656.3615190056473,657.6940627753571,3722957,SUNPHARMA.NS,Sun Pharma,Pharma
2021-05-25,662.54833984375,663.7857270338085,657.6941802744118,661.5013824757109,2800233,SUNPHARMA.NS,Sun Pharma,Pharma
2021-05-26,669.8772583007812,672.1140245922688,662.6435968956062,665.7845272927665,6235460,SUNPHARMA.NS,Sun Pharma,Pharma
2021-05-27,665.7844848632812,675.5404405028075,661.0254821122928,673.1609391273133,9875654,SUNPHARMA.NS,Sun Pharma,Pharma
2021-05-28,637.4683837890625,661.0254461239326,634.1846604509979,660.5495458747433,28316552,SUNPHARMA.NS,Sun Pharma,Pharma
2021-05-31,636.0882568359375,643.1316037101897,627.2365238838526,639.6099302730636,13947126,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-01,638.7057495117188,640.847300756102,632.2810957785691,637.8015273676534,6443084,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-02,644.7973022460938,645.4159377553208,637.8491697632248,638.6581770034816,4978457,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-03,642.9412231445312,648.0333324665387,641.0376221877747,645.320724340477,3604574,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-04,641.4659423828125,646.5104732866708,640.3713485981577,646.177366357406,3747803,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-07,642.7984619140625,645.1303848211212,638.5629960485426,641.4659760338103,2793705,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-08,646.03466796875,647.1768403263602,633.0425663258709,640.5618144279466,5695920,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-09,640.4190063476562,651.6978782409865,635.4220532298423,648.2237828360443,4492551,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-10,643.46484375,648.1762687760639,640.5618632691497,640.6094416849072,3099864,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-11,648.4616088867188,653.2681893472513,641.561055901743,642.6556496125366,3822099,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-14,644.4641723632812,650.7460912703078,639.1816905753788,649.1280186081965,3640962,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-15,640.7521362304688,648.5569122903293,639.3720138264754,644.4641234867706,3862284,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-16,636.3262939453125,647.7003229919726,634.7082212699496,642.4654195732278,4842448,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-17,632.994873046875,641.0851768129934,629.758786396401,639.419526037616,2776147,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-18,636.2786254882812,640.5617276793018,621.2401894140228,634.850924757941,4158743,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-21,638.9912719726562,642.2749954680925,630.0919601236359,630.0919601236359,2932177,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-22,634.6605834960938,647.4623122777601,633.7563613714976,645.3207610794875,4577152,SUNPHARMA.NS,Sun Pharma,Pharma
2021-06-23,633.1852416992188,639.9430015751155,632.2334412607381,634.6605207602059,2631031,SUNPHARMA.NS,Sun Pharma,Pharma
