Date,Close,High,Low,Open,Volume,Ticker,Company,Sector
2021-05-21,1123.9864501953125,1138.9378003970564,1118.7831898356694,1127.134397744652,2775210,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-05-24,1114.1734619140625,1133.9489187232443,1107.0095251416099,1124.0163083808332,2142290,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-05-25,1135.03125,1137.939745228507,1117.6154777546287,1121.9756628754549,3941510,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-05-26,1187.96728515625,1195.3107489314593,1135.9592945151378,1137.4409463955456,10152650,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-05-27,1186.2113037109375,1194.1284285340253,1170.5714409579464,1188.3265400354544,4079730,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-05-28,1168.690673828125,1199.7957437426219,1165.378179852478,1189.8231844812328,2633150,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-05-31,1177.9798583984375,1182.8439155424555,1159.1921697278017,1168.690697985277,2411520,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-01,1180.3345947265625,1192.0781947130588,1160.0950932978544,1180.3445820237923,3024210,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-02,1179.7059326171875,1183.3377764961888,1167.5283731231002,1168.2716959439038,1834210,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-03,1179.3319091796875,1189.7135834122957,1175.4107986392644,1187.2291821945673,1838160,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-04,1212.8365478515625,1216.2638962922733,1175.8548004761642,1182.8390886419115,4107690,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-07,1180.199951171875,1198.1845167226902,1165.8422362652527,1185.3334222226993,5147270,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-08,1170.67626953125,1187.3287461729158,1164.3803754485652,1187.3287461729158,2896090,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-09,1153.2904052734375,1181.1427837034876,1140.4842548551708,1171.3647329551875,3082860,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-10,1196.6180419921875,1218.0597949837713,1147.453622156828,1152.5071946045223,6299980,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-11,1188.0772705078125,1205.288551562828,1182.6295648704374,1197.3065081749946,3529940,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-14,1189.9378662109375,1198.8029313395364,1164.5450438494795,1182.439720901236,2887850,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-15,1177.2215576171875,1205.7773098358932,1173.8591270804031,1192.2178492197568,3148410,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-16,1182.95361328125,1195.8096997721918,1174.8568389501509,1178.348982420491,2475390,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-17,1179.2021484375,1191.0405061097888,1171.3598058773546,1172.3625548919017,2201700,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-18,1197.2415771484375,1207.2839258879162,1169.4539943097604,1183.3377984322883,4895670,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-21,1212.9111328125,1217.2363625828623,1175.0413784531445,1177.3511232539204,2948530,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-22,1210.4417724609375,1223.8465507513645,1205.3880788456522,1217.1616393742997,2749230,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-23,1225.4677734375,1237.2163644836878,1205.2882002389476,1219.7556496623456,3785550,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-24,1230.556396484375,1236.8173347906043,1213.7692137833233,1225.4678692692023,2785730,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-25,1245.857177734375,1249.1896463621208,1229.2844766741525,1232.7266837702878,2187170,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-28,1235.011474609375,1249.1495881485644,1229.234432902011,1247.1940268892156,1655170,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-29,1227.22900390625,1246.196341473339,1224.3504701872455,1236.119037530853,1571780,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-06-30,1208.1868896484375,1234.1783416811097,1203.791748397689,1231.82864747811,2315460,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-07-01,1178.99267578125,1217.0620615457494,1177.4510998720941,1217.0620615457494,3215210,BAJAJFINSV.NS,Bajaj Finserv,Finance
2021-07-02,1172.4073486328125,1194.2132698932928,1162.4846045752413,1194.2132698932928,3554370,BAJAJFINSV.NS,Bajaj Finserv,Finance
